,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[69],0.0202421,0.188009,0.269982,0.242435,-0.230677,-0.0586487,0.435796,4.74154,200.0,0.00959686,3.19714
log_lik[70],-0.353912,0.338561,0.486179,0.614271,-0.900178,-0.408614,0.307246,4.78849,200.0,0.00969188,3.02151
log_lik[71],-1.68821,0.988715,1.41978,2.02968,-3.20426,-1.74907,-0.105468,4.54959,200.0,0.00920835,3.95074
log_lik[72],0.518045,0.125976,0.180937,0.235363,0.27332,0.53161,0.730186,4.71282,200.0,0.00953873,3.26559
log_lik[73],-0.431206,0.443811,0.637316,0.753506,-1.09388,-0.538163,0.448797,4.76393,200.0,0.00964218,3.07977
log_lik[74],-1.65323,0.716697,1.02917,1.24127,-2.69762,-1.8227,-0.308806,4.59928,200.0,0.00930893,3.65554
log_lik[75],0.466459,0.158694,0.227889,0.220865,0.191341,0.430337,0.823096,4.71259,200.0,0.00953826,3.28236
log_lik[76],-0.713635,0.56335,0.808969,1.01627,-1.52801,-0.827651,0.331193,4.73659,200.0,0.00958683,3.16028
log_lik[77],0.884319,0.492614,0.707357,0.9882,-0.0123969,0.888026,1.77913,4.84281,200.0,0.00980183,2.93131
log_lik[78],0.294689,0.0804953,0.115653,0.117285,0.182721,0.262668,0.470751,4.74272,200.0,0.00959925,3.24088
log_lik[79],-4.02705,1.85859,2.66888,3.96453,-7.02734,-4.03185,-1.10731,4.52794,200.0,0.00916454,4.13622
log_lik[80],-1.05393,0.713645,1.02479,1.2817,-2.08843,-1.2022,0.237364,4.64419,200.0,0.00939983,3.45706
log_lik[81],0.596828,0.465096,0.667848,0.925695,-0.0993276,0.555739,1.36735,4.74644,200.0,0.00960677,3.16764
log_lik[82],-1.357,0.713376,1.0244,1.42397,-2.41223,-1.42331,-0.208462,4.6064,200.0,0.00932334,3.62387
log_lik[83],-0.35616,0.074028,0.106373,0.0766021,-0.451263,-0.396942,-0.18042,4.70076,200.0,0.00951432,3.29446
log_lik[84],-0.0759318,0.119471,0.171594,0.257902,-0.280905,-0.0797793,0.127548,4.65031,200.0,0.00941221,3.45312
log_lik[85],0.236285,0.271862,0.390382,0.446075,-0.185385,0.171512,0.79371,4.75711,200.0,0.00962838,3.17153
log_lik[86],-1.14037,0.609007,0.874528,1.20486,-2.02074,-1.2061,-0.124028,4.85077,200.0,0.00981793,2.86539
log_lik[87],-0.0652393,0.317138,0.455418,0.475633,-0.56372,-0.156355,0.619637,4.7827,200.0,0.00968017,3.03251
log_lik[88],-2.26165,1.0733,1.54124,2.24832,-3.9317,-2.2942,-0.582246,4.55034,200.0,0.00920986,3.94544
log_lik[89],0.304734,0.105063,0.1509,0.126917,0.130832,0.268282,0.549853,4.70241,200.0,0.00951767,3.30041
log_lik[90],0.789565,0.44829,0.643715,0.889913,-0.0137772,0.819235,1.52579,4.78679,200.0,0.00968846,3.04571
log_lik[91],-0.296078,0.389011,0.558625,0.644469,-0.891825,-0.392316,0.496101,4.77734,200.0,0.00966933,3.04343
log_lik[92],0.569149,0.192015,0.27573,0.288593,0.24492,0.525217,0.98951,4.73377,200.0,0.00958114,3.23272
log_lik[93],0.210714,0.520538,0.749865,0.882394,-0.596555,0.139148,1.42205,4.82419,200.0,0.00976414,2.97593
log_lik[94],0.370777,0.479497,0.708409,0.5643,-0.82084,0.46164,1.19103,4.86765,200.0,0.0098521,2.91292
log_lik[95],-0.180374,0.331168,0.47557,0.603226,-0.716534,-0.232955,0.464134,4.78448,200.0,0.00968378,3.03267
log_lik[96],-0.41936,0.309044,0.443796,0.320454,-0.857272,-0.560361,0.306967,4.78132,200.0,0.00967737,3.04153
log_lik[97],-0.120275,0.118914,0.170815,0.180729,-0.338085,-0.145227,0.142124,4.69017,200.0,0.00949288,3.43613
log_lik[98],0.233889,0.227223,0.326286,0.329306,-0.0789387,0.153625,0.715751,4.74015,200.0,0.00959404,3.205
log_lik[99],-0.0692057,0.113234,0.162654,0.191571,-0.254898,-0.0987704,0.170569,4.68991,200.0,0.00949237,3.4398
log_lik[100],0.0042896,0.112467,0.161558,0.191504,-0.184009,-0.0233556,0.243141,4.68538,200.0,0.00948318,3.45941
log_lik[101],0.185766,0.101843,0.146294,0.209067,0.0123323,0.18837,0.350409,4.69468,200.0,0.00950201,3.32467
log_lik[102],-0.116288,0.319471,0.458773,0.558097,-0.634129,-0.176353,0.524904,4.78331,200.0,0.00968141,3.03441
log_lik[103],0.516583,0.561467,0.806252,1.12392,-0.344811,0.472257,1.48562,4.68902,200.0,0.00949056,3.35526
log_lik[104],-1.2286,0.553126,0.794286,0.87073,-1.99672,-1.40242,-0.106545,4.75503,200.0,0.00962416,3.10297
log_lik[105],-0.618343,0.32122,0.461278,0.416144,-1.09639,-0.737957,0.106406,4.77956,200.0,0.00967382,3.04591
log_lik[106],0.0548278,0.211104,0.303142,0.329661,-0.286928,0.00369598,0.506108,4.73904,200.0,0.00959179,3.20361
log_lik[107],-1.62426,0.653213,0.938007,1.13883,-2.56437,-1.77167,-0.415563,4.75125,200.0,0.00961652,3.12032
log_lik[108],-0.18744,0.145718,0.209265,0.209007,-0.454713,-0.211044,0.135129,4.72306,200.0,0.00955945,3.23139
log_lik[109],-0.629839,0.0928697,0.133434,0.175416,-0.791901,-0.645833,-0.441484,4.68252,200.0,0.00947741,3.45373
log_lik[110],-0.825222,0.489796,0.703349,1.01899,-1.56684,-0.848082,-0.0340445,4.7791,200.0,0.00967288,3.0409
log_lik[111],-0.301705,0.183292,0.26325,0.194453,-0.589816,-0.366013,0.133646,4.68584,200.0,0.00948412,3.44715
log_lik[112],-0.688848,0.615691,0.884131,1.19263,-1.58346,-0.770545,0.369199,4.73137,200.0,0.00957627,3.17701
log_lik[113],-2.07059,1.05989,1.52198,2.11143,-3.70629,-2.16756,-0.295257,4.54619,200.0,0.00920147,3.96836
log_lik[114],-0.780526,0.530163,0.761309,0.948945,-1.55528,-0.889646,0.217119,4.76033,200.0,0.0096349,3.08824
log_lik[115],0.459931,0.550924,0.791087,0.938356,-0.65933,0.552102,1.39977,4.82049,200.0,0.00975666,2.98332
log_lik[116],-1.17863,0.693015,0.995164,1.30335,-2.19303,-1.28992,0.0194,4.62306,200.0,0.00935705,3.54797
log_lik[117],0.390309,0.130512,0.187437,0.194004,0.138839,0.373695,0.672806,4.70037,200.0,0.00951354,3.31344
log_lik[118],-1.15313,0.5818,0.835464,0.862944,-1.94225,-1.35818,0.050593,4.99878,200.0,0.0101175,2.68502
log_lik[119],-11.1293,4.34095,6.23347,8.98842,-18.3698,-10.965,-4.41819,4.52448,200.0,0.00915752,4.17947
log_lik[120],-0.190462,0.093057,0.133672,0.0403125,-0.294354,-0.252821,0.0443505,4.65632,200.0,0.00942438,3.5418
log_lik[121],-0.918687,0.435815,0.625832,0.641035,-1.54182,-1.06794,0.00955885,4.77437,200.0,0.00966331,3.05192
log_lik[122],-1.07587,0.482392,0.692716,0.756607,-1.76232,-1.22489,-0.0850493,4.76947,200.0,0.0096534,3.06421
log_lik[123],-0.451125,0.269192,0.38657,0.294672,-0.853161,-0.560786,0.177949,4.77584,200.0,0.00966629,3.06359
log_lik[124],-0.220886,0.108594,0.155973,0.107116,-0.388635,-0.262931,0.0401663,4.71079,200.0,0.00953462,3.26841
log_lik[125],-0.18465,0.122317,0.175672,0.141167,-0.380066,-0.226386,0.102901,4.71516,200.0,0.00954346,3.25552
log_lik[126],-0.652832,0.3221,0.462545,0.441269,-1.13672,-0.765064,0.0628233,4.77946,200.0,0.00967362,3.04746
log_lik[127],0.791012,0.439507,0.631104,0.8474,-0.0202502,0.832387,1.51161,4.79021,200.0,0.00969538,3.03876
log_lik[128],-1.78136,0.851697,1.22302,1.73943,-3.0735,-1.83556,-0.425484,4.58572,200.0,0.00928149,3.72775
log_lik[129],0.957128,0.441894,0.634527,0.848958,0.203295,0.923767,1.78446,4.80481,200.0,0.00972491,3.02472
