subject,condition,n_planets,centrality_rt_corr,mean_centrality
26.0,4-planets,4,-0.05760896792127043,0.16667377888992302
26.0,5-planets,5,-0.06868839048425009,0.1000234426343424
27.0,2-planets,2,,1.0
27.0,3-planets,3,-0.020531580501507687,0.3333333333333333
27.0,4-planets,4,0.0666892128861976,0.16668926400470024
27.0,5-planets,5,-0.006080099083408299,0.1
28.0,2-planets,2,,1.0
28.0,3-planets,3,-0.023353863347268203,0.33333333333333326
28.0,4-planets,4,0.10004936605846054,0.16666666666666666
28.0,5-planets,5,-0.047468267873010284,0.10000875573798938
29.0,2-planets,2,,1.0
29.0,3-planets,3,-0.10174728042177646,0.3333333333333334
29.0,4-planets,4,-0.23041753495714157,0.1667450551073567
29.0,5-planets,5,0.04577239913868678,0.1000202548748499
30.0,2-planets,2,,1.0
30.0,3-planets,3,-0.0070618753576961665,0.33333357367255917
30.0,4-planets,4,-0.00986220571171943,0.16666666666666666
30.0,5-planets,5,0.039776624658352314,0.10004388199631357
31.0,2-planets,2,,1.0
31.0,3-planets,3,-0.023496277321906893,0.33336700972460953
31.0,4-planets,4,-0.13288083881469934,0.16667414872842362
31.0,5-planets,5,0.09387250464275426,0.10000763115317043
32.0,2-planets,2,,1.0
32.0,4-planets,4,0.013329666646307603,0.16671339916366187
32.0,5-planets,5,0.014401991242511214,0.10002268369151376
33.0,3-planets,3,-0.05044784735892277,0.33340457917130795
33.0,4-planets,4,0.03768374532716485,0.16670268016173964
33.0,5-planets,5,0.001906239609100924,0.1
34.0,2-planets,2,,1.0
34.0,3-planets,3,0.12023455812027159,0.33334488663249945
34.0,4-planets,4,0.02457487900687617,0.16667372681158885
34.0,5-planets,5,0.06456539371876147,0.10000000000000002
35.0,2-planets,2,,1.0
35.0,3-planets,3,-0.06760718114137018,0.33333713914284885
35.0,4-planets,4,0.056105186753798386,0.16667481219626826
35.0,5-planets,5,0.03156555916907067,0.10000867043332821
36.0,2-planets,2,,1.0
36.0,3-planets,3,-0.09879951313855202,0.3333333333333333
36.0,4-planets,4,0.03659029670568991,0.1666781202678146
36.0,5-planets,5,0.055153483091526345,0.1000147333558231
37.0,2-planets,2,,1.0
37.0,3-planets,3,-0.049576481788643476,0.3333454316686024
37.0,4-planets,4,0.06733310143781084,0.16667414872842365
37.0,5-planets,5,0.04296024893822246,0.10002162272885626
38.0,2-planets,2,,1.0
38.0,3-planets,3,0.1740609049818161,0.3333333333333333
38.0,4-planets,4,0.00922990701007272,0.16670169408494673
38.0,5-planets,5,-0.030293840971123788,0.10000915691273744
39.0,3-planets,3,0.07302583092997511,0.33339020839020844
39.0,4-planets,4,-0.05740411094775742,0.166691245572685
39.0,5-planets,5,-0.008119917644490845,0.1
40.0,2-planets,2,,1.0
40.0,3-planets,3,0.1770798698635475,0.3333370743642119
40.0,4-planets,4,-0.04609189812283902,0.16667360221948302
40.0,5-planets,5,0.05858599718326993,0.10002110748844893
41.0,2-planets,2,,1.0
41.0,3-planets,3,-0.10795392808038894,0.3333483442451714
