subject,condition,n_planets,policy_MI,reward_rate,mean_rt1
20.0,5-planets,5,0.03028193981279869,0.13804713804713806,0.8052255892255893
21.0,2-planets,2,-9.999433713488803e-13,0.06418918918918919,0.6340945945945946
21.0,3-planets,3,0.05659792168998401,0.13,0.7026933333333333
21.0,4-planets,4,0.08865423407050439,0.23411371237458195,0.8299632107023412
21.0,5-planets,5,0.025241990037941697,0.11333333333333333,0.76283
22.0,2-planets,2,-1.0000066618402788e-12,0.08754208754208755,0.7268047138047138
22.0,4-planets,4,0.0695825541600124,0.26936026936026936,0.8493838383838384
22.0,5-planets,5,0.016408502376523016,0.07142857142857142,0.7579081632653061
23.0,2-planets,2,-1.0000107737774044e-12,0.026936026936026935,0.5592087542087542
23.0,4-planets,4,0.005347141626381708,0.057432432432432436,0.6808108108108107
23.0,5-planets,5,0.18482284900124274,0.18088737201365188,0.7568805460750854
24.0,2-planets,2,-1.0000044729764056e-12,0.07984790874524715,0.5899277566539924
24.0,3-planets,3,0.02166812646974355,0.2483221476510067,0.847714765100671
24.0,4-planets,4,0.006210806107612814,0.5238095238095238,1.0682244897959183
24.0,5-planets,5,0.028679648743760902,0.020066889632107024,0.5786555183946488
25.0,2-planets,2,-9.99998741531848e-13,0.0738255033557047,0.6717114093959732
25.0,3-planets,3,0.0033199368011301864,0.1684981684981685,0.6624285714285715
25.0,5-planets,5,0.03151287889710486,0.06397306397306397,0.5853838383838383
26.0,2-planets,2,-9.999667760501393e-13,0.023333333333333334,0.59137
26.0,3-planets,3,0.07216288727616182,0.04666666666666667,0.6824233333333334
26.0,4-planets,4,0.023180988505508635,0.046822742474916385,0.6698662207357859
26.0,5-planets,5,0.040729466957569314,0.057432432432432436,0.6415033783783783
27.0,2-planets,2,-9.999983004430388e-13,0.06688963210702341,0.6577491638795987
27.0,3-planets,3,0.1039056181661622,0.08,0.7527566666666665
27.0,4-planets,4,0.07357675117690739,0.03355704697986577,0.5926140939597315
27.0,5-planets,5,0.03429222774527984,0.18,0.7965
28.0,2-planets,2,-9.999912009566771e-13,0.02,0.5117866666666667
28.0,3-planets,3,0.0008455518783622631,0.01,0.41484333333333334
28.0,4-planets,4,0.03199131454121707,0.0033333333333333335,0.36417
28.0,5-planets,5,0.038875678396000535,0.28762541806020064,0.8700535117056857
29.0,2-planets,2,-1.000013631225287e-12,0.10847457627118644,0.667613559322034
29.0,3-planets,3,0.000851714447723668,0.0,0.43709000000000003
29.0,4-planets,4,0.029223367996638435,0.16095890410958905,0.7886609589041096
29.0,5-planets,5,0.062189861625387435,0.3401360544217687,0.9498707482993195
30.0,2-planets,2,-1.0000019331126939e-12,0.02,0.52079
30.0,3-planets,3,0.0019304022170275794,0.44404332129963897,1.0104440433212998
30.0,4-planets,4,0.026232649558782815,0.20666666666666667,0.7971833333333332
30.0,5-planets,5,0.008270939993081882,0.05387205387205387,0.5325050505050505
31.0,2-planets,2,-9.999400044515505e-13,0.013377926421404682,0.5506220735785954
31.0,3-planets,3,0.0019865735145792613,0.11228070175438597,0.6253824561403508
31.0,4-planets,4,0.08542463688078705,0.23745819397993312,0.7986421404682275
31.0,5-planets,5,0.11937496328808828,0.2976588628762542,0.8738060200668897
32.0,2-planets,2,-1.0000213053715772e-12,0.19727891156462585,0.7427414965986394
32.0,4-planets,4,0.11793205114129729,0.0707070707070707,0.6509090909090909
32.0,5-planets,5,0.011230588319342535,0.03367003367003367,0.5376936026936028
33.0,3-planets,3,0.0005976440173214833,0.03436426116838488,0.545659793814433
33.0,4-planets,4,0.12278134824382564,0.2222222222222222,0.7866161616161617
33.0,5-planets,5,0.039120978673401016,0.0,0.47619
34.0,2-planets,2,-9.999971221461402e-13,0.006666666666666667,0.5108999999999999
34.0,3-planets,3,0.018847100614216475,0.18855218855218855,0.7802020202020201
34.0,4-planets,4,0.11816407859534214,0.043478260869565216,0.6382541806020067
34.0,5-planets,5,0.04533211400025081,0.07,0.6798566666666667
35.0,2-planets,2,-1.0000148857145992e-12,0.0695970695970696,0.6605054945054945
35.0,3-planets,3,0.3016885072899248,0.04013377926421405,0.638933110367893
35.0,4-planets,4,0.03241344387660865,0.11036789297658862,0.8000334448160537
35.0,5-planets,5,0.08829622534886278,0.06020066889632107,0.714638795986622
36.0,2-planets,2,-1.0000107737774044e-12,0.06397306397306397,0.663892255892256
36.0,3-planets,3,0.02369001973599137,0.1111111111111111,0.6933905723905724
36.0,4-planets,4,0.02567992434054669,0.06040268456375839,0.6054261744966444
36.0,5-planets,5,0.030465355958399033,0.1476510067114094,0.7910436241610738
37.0,2-planets,2,-9.999576242118354e-13,0.05067567567567568,0.5812297297297297
37.0,3-planets,3,0.01432548195612469,0.125,0.7616145833333333
37.0,4-planets,4,0.07995715833539394,0.23411371237458195,0.8411672240802676
37.0,5-planets,5,0.04428892325394705,0.15878378378378377,0.7606114864864866
38.0,2-planets,2,-9.999667760501393e-13,0.03333333333333333,0.5775233333333334
38.0,3-planets,3,0.02923249052505225,0.12333333333333334,0.7050733333333333
38.0,4-planets,4,0.16880585314071836,0.12203389830508475,0.7141389830508474
38.0,5-planets,5,0.10653848001636211,0.10702341137123746,0.7218160535117056
39.0,3-planets,3,0.005366475660690817,0.18518518518518517,0.8140033670033671
39.0,4-planets,4,0.009009256267692087,0.017006802721088437,0.49558503401360543
39.0,5-planets,5,0.041005378518274335,0.07333333333333333,0.6701333333333334
40.0,2-planets,2,-9.999674815430406e-13,0.0033444816053511705,0.43543143812709034
40.0,3-planets,3,0.1145131833350417,0.42474916387959866,0.960046822742475
40.0,4-planets,4,0.021013608500864638,0.14715719063545152,0.7949632107023412
40.0,5-planets,5,0.03571500083725759,0.30405405405405406,0.8695641891891891
41.0,2-planets,2,-9.99935406661768e-13,0.003355704697986577,0.44878859060402687
41.0,3-planets,3,0.0010169717223989273,0.16722408026755853,0.7586722408026756
41.0,4-planets,4,0.05001853219483197,0.14864864864864866,0.6924189189189189
41.0,5-planets,5,0.14575689940235595,0.2727272727272727,0.8509825174825175
42.0,2-planets,2,-9.99992830779046e-13,0.06734006734006734,0.66
42.0,3-planets,3,0.002934591261437332,0.02666666666666667,0.53413
42.0,5-planets,5,0.012620974601929107,0.1773049645390071,0.6656170212765957
43.0,2-planets,2,-9.999645556042053e-13,0.12666666666666668,0.68072
43.0,3-planets,3,0.042518227034558834,0.13468013468013468,0.6785690235690235
43.0,4-planets,4,0.00944114208504123,0.016778523489932886,0.4935402684563758
43.0,5-planets,5,0.10792721470963665,0.31313131313131315,0.8992154882154882
44.0,2-planets,2,-9.99976021720351e-13,0.0033444816053511705,0.402628762541806
44.0,3-planets,3,0.0706758663051615,0.16891891891891891,0.7729155405405406
44.0,4-planets,4,0.008571364263839181,0.13494809688581316,0.6749134948096885
44.0,5-planets,5,0.04501706457927285,0.08108108108108109,0.6784493243243244
45.0,2-planets,2,-9.99967785343835e-13,0.06643356643356643,0.5820279720279721
45.0,3-planets,3,0.013319926501900545,0.03367003367003367,0.5128585858585859
45.0,4-planets,4,0.0018981925435105395,0.24528301886792453,0.8081622641509434
45.0,5-planets,5,0.01685490281365957,0.19243986254295534,0.6800103092783505
46.0,2-planets,2,-9.999868497797747e-13,0.04040404040404041,0.5861649831649831
46.0,3-planets,3,0.02146223960669605,0.05821917808219178,0.6817979452054794
46.0,4-planets,4,0.0032451902028715705,0.02040816326530612,0.4392448979591837
46.0,5-planets,5,0.11104930903667798,0.02348993288590604,0.5612953020134228
47.0,2-planets,2,-9.999983004430388e-13,0.026755852842809364,0.5483177257525084
47.0,3-planets,3,0.0012539933201708101,0.37037037037037035,0.945925925925926
47.0,5-planets,5,0.05644364043648081,0.14715719063545152,0.790418060200669
48.0,3-planets,3,0.06719517079732129,0.1750841750841751,0.8062087542087542
48.0,4-planets,4,0.2926749195510354,0.003355704697986577,0.5141577181208052
48.0,5-planets,5,0.010896026570465024,0.367003367003367,0.9056835016835016
49.0,2-planets,2,-9.99937745218347e-13,0.030405405405405407,0.5068952702702703
49.0,3-planets,3,0.15434533602142572,0.11824324324324324,0.7186621621621622
49.0,4-planets,4,0.04263931097857929,0.07666666666666666,0.62001
49.0,5-planets,5,0.038875834120812025,0.1,0.7675233333333333
50.0,2-planets,2,-9.999921311435591e-13,0.02364864864864865,0.5376858108108108
50.0,3-planets,3,0.06643754821036442,0.08191126279863481,0.6807372013651878
50.0,4-planets,4,0.01402892781469982,0.08163265306122448,0.5638333333333333
51.0,2-planets,2,-9.99982133490578e-13,0.1916376306620209,0.7726062717770035
51.0,3-planets,3,0.18196170468240425,0.27946127946127947,0.9043872053872054
51.0,4-planets,4,0.0031390478685141675,0.06756756756756757,0.6120743243243243
51.0,5-planets,5,0.028485555201300125,0.09731543624161074,0.7213523489932887
52.0,2-planets,2,-9.999524590331596e-13,0.0707070707070707,0.6781851851851851
52.0,3-planets,3,0.02928914729114536,0.10437710437710437,0.6781414141414142
52.0,5-planets,5,0.03550136748423064,0.01,0.46609333333333325
53.0,3-planets,3,0.007845726932911586,0.41216216216216217,0.9355337837837838
53.0,4-planets,4,0.01174202264977822,0.17472118959107807,0.8176914498141264
53.0,5-planets,5,0.026352545576062057,0.06666666666666667,0.5547614035087718
54.0,2-planets,2,-9.99944088884058e-13,0.023411371237458192,0.5023177257525083
54.0,3-planets,3,0.007009056690856101,0.05351170568561873,0.6306287625418061
54.0,4-planets,4,0.016320213372307393,0.13712374581939799,0.7981270903010033
54.0,5-planets,5,0.20912457840571935,0.34035087719298246,0.9263894736842104
55.0,2-planets,2,-9.999794419751174e-13,0.06338028169014084,0.6242676056338029
55.0,3-planets,3,0.01418494221514819,0.07167235494880546,0.6275870307167235
55.0,4-planets,4,0.012618278056130854,0.006711409395973154,0.42312416107382556
55.0,5-planets,5,0.19645178796328877,0.28187919463087246,0.8484194630872482
56.0,2-planets,2,-1.0000142668620908e-12,0.016722408026755852,0.45435451505016716
56.0,3-planets,3,0.06721405404060388,0.15100671140939598,0.7713557046979866
56.0,4-planets,4,0.012781377896092126,0.041379310344827586,0.6476655172413792
56.0,5-planets,5,0.07827156114726622,0.15517241379310345,0.8209448275862069
57.0,2-planets,2,-9.99982319172539e-13,0.03666666666666667,0.6118133333333333
57.0,3-planets,3,0.006758342791893669,0.11705685618729098,0.7437859531772575
57.0,5-planets,5,0.1996729213267344,0.06020066889632107,0.7127625418060201
58.0,2-planets,2,-9.99998741531906e-13,0.016778523489932886,0.5711711409395973
58.0,3-planets,3,0.028971706112836768,0.13,0.74513
58.0,4-planets,4,0.014548250929893404,0.020066889632107024,0.5034816053511706
58.0,5-planets,5,0.0479663715742558,0.15488215488215487,0.6504579124579124
59.0,2-planets,2,-1.0000066618402788e-12,0.04713804713804714,0.5391717171717172
59.0,3-planets,3,0.010105031103522111,0.27364864864864863,0.8730777027027028
59.0,4-planets,4,0.032304813534124746,0.10638297872340426,0.6673900709219859
59.0,5-planets,5,0.11492050346639682,0.12374581939799331,0.7138260869565217
60.0,2-planets,2,-9.999837994704866e-13,0.0033333333333333335,0.4992033333333334
60.0,3-planets,3,0.05018162893028691,0.06164383561643835,0.579832191780822
60.0,4-planets,4,0.034097628134957814,0.023890784982935155,0.5721672354948805
60.0,5-planets,5,0.004997721509585693,0.08503401360544217,0.54628231292517
61.0,2-planets,2,-9.999963819976712e-13,0.25177304964539005,0.8462943262411347
61.0,3-planets,3,0.000791200649028879,0.04406779661016949,0.6301016949152543
61.0,4-planets,4,0.0435548413255356,0.18729096989966554,0.7320401337792642
61.0,5-planets,5,0.1322673764251475,0.1605351170568562,0.7823712374581939
62.0,2-planets,2,-9.999823489771293e-13,0.02348993288590604,0.5380402684563758
62.0,3-planets,3,0.0008166552146446513,0.006688963210702341,0.629685618729097
62.0,4-planets,4,0.18067993542752886,0.4864864864864865,1.020233108108108
62.0,5-planets,5,0.019489555340280636,0.6486486486486487,1.146010135135135
63.0,2-planets,2,-9.999733925308155e-13,0.0707070707070707,0.6861616161616161
63.0,3-planets,3,0.016795130977906615,0.28619528619528617,0.8278148148148148
63.0,4-planets,4,0.0036571016560179477,0.023333333333333334,0.5677433333333334
63.0,5-planets,5,0.09193959782276032,0.12333333333333334,0.8123733333333333
64.0,2-planets,2,-9.999674815430406e-13,0.026755852842809364,0.5964347826086956
64.0,3-planets,3,0.20163924534887567,0.03367003367003367,0.590013468013468
64.0,4-planets,4,0.008718277015203354,0.02040816326530612,0.4679863945578232
64.0,5-planets,5,0.14250064520063294,0.13945578231292516,0.7607108843537415
65.0,2-planets,2,-9.999440888840113e-13,0.0033444816053511705,0.5060602006688963
65.0,3-planets,3,0.09035899209400518,0.030201342281879196,0.6648053691275168
65.0,4-planets,4,0.1111209861838057,0.13087248322147652,0.7502953020134228
65.0,5-planets,5,0.016693280392706334,0.07046979865771812,0.6728489932885906
66.0,2-planets,2,-1.0000023848762315e-12,0.06020066889632107,0.6294949832775919
66.0,3-planets,3,0.01978491463062767,0.23411371237458195,0.8398160535117057
66.0,4-planets,4,0.06525464426043553,0.16498316498316498,0.7629629629629631
66.0,5-planets,5,0.06004881599972646,0.10666666666666667,0.7909133333333334
67.0,3-planets,3,0.039984061546463986,0.19798657718120805,0.7974395973154362
67.0,4-planets,4,0.0020360527970893338,0.05,0.6863466666666667
67.0,5-planets,5,0.024306042979954586,0.0777027027027027,0.6929662162162162
68.0,2-planets,2,-1.0000106633898414e-12,0.07046979865771812,0.6136812080536913
68.0,3-planets,3,0.006017542625480418,0.027972027972027972,0.44164685314685315
68.0,4-planets,4,0.12762357010234443,0.3515358361774744,0.9534470989761092
68.0,5-planets,5,0.07391703835645759,0.14285714285714285,0.7254795918367347
